product_id;neighbor_products_id
88721;[85331, 112662, 16165, 105890, 108112, 39527, 71779, 104406, 81978, 123548]
117925;[50185, 73983, 77941, 110047, 110925, 62211, 110125, 58802, 86686, 104438]
37993;[39426, 75987, 85444, 51610, 112487, 41679, 38740, 104127, 42528, 51605]
18498;[110201, 40837, 18527, 88140, 18201, 91784, 18202, 50189, 112943, 66007]
70109;[33276, 75988, 93891, 110202, 66590, 92706, 92714, 94403, 29994, 105442]
56528;[93067, 83329, 91560, 16708, 20490, 116947, 66862, 66583, 117038, 60932]
81362;[117873, 19357, 56257, 55054, 63477, 87764, 88622, 53541, 73726, 70954]
80573;[58573, 81531, 93951, 120932, 62406, 104410, 73751, 110151, 21192, 110013]
38304;[110733, 58839, 108244, 63022, 43125, 86725, 48991, 115394, 20041, 92101]
116187;[51607, 19762, 127211, 91076, 18749, 85285, 15686, 59417, 70745, 115238]
94591;[112943, 63089, 91565, 76366, 126120, 117925, 110048, 92029, 16244, 121908]
125923;[110093, 18420, 116187, 73583, 94174, 110405, 125815, 37892, 91463, 92708]
18453;[19708, 117671, 15172, 29980, 94345, 91717, 20707, 129553, 92112, 37998]
53541;[83329, 70451, 79464, 20870, 89582, 91465, 89948, 16203, 125843, 75659]
62589;[57406, 126470, 70618, 79975, 79156, 66484, 60644, 88354, 18506, 117685]
51574;[51058, 87717, 33689, 84803, 70575, 128301, 88164, 51609, 66578, 57680]
60782;[60788, 51605, 116514, 117151, 78003, 32241, 117057, 112487, 63882, 61100]
18390;[62614, 43378, 69874, 51128, 104441, 108201, 51559, 64855, 104417, 75599]
70334;[104665, 107458, 18390, 108492, 82636, 110001, 123516, 113403, 121026, 76734]
68609;[18283, 133662, 133494, 54904, 119482, 41870, 29439, 39411, 113405, 127418]
51610;[17236, 85363, 82051, 39426, 17317, 18468, 110853, 51605, 51128, 17303]
79486;[43574, 108080, 58909, 124624, 75419, 89601, 73789, 19891, 80572, 110013]
56397;[79856, 56398, 38239, 105428, 60653, 115238, 108828, 110111, 61358, 40475]
69486;[75987, 123140, 51631, 99601, 41679, 130323, 29439, 64851, 73358, 40998]
37970;[75153, 49992, 14484, 121094, 108108, 121406, 89608, 89922, 104326, 52154]
50818;[18437, 108202, 38239, 110733, 63898, 39974, 107624, 116941, 82079, 93858]
125970;[110177, 114716, 92298, 38930, 68515, 106820, 69663, 41127, 88294, 63922]
53525;[53535, 59060, 77118, 67470, 53352, 125841, 80572, 71092, 89582, 77964]
129330;[70087, 110203, 51610, 44003, 20936, 17756, 107642, 110855, 121398, 68059]
117873;[122001, 80572, 122004, 79464, 61027, 19836, 89582, 87309, 70451, 81362]
89582;[108607, 63477, 62406, 80572, 117873, 114716, 128917, 30422, 117051, 20080]
128901;[41389, 18355, 18498, 88721, 51609, 110733, 92135, 127211, 121398, 38012]
104413;[86720, 127373, 51609, 104438, 41098, 25083, 89630, 60505, 85162, 50169]
70618;[66484, 57104, 59423, 82386, 63088, 89602, 72494, 74302, 67174, 62589]
62136;[57680, 71744, 53525, 61027, 70111, 116948, 110317, 72579, 89200, 104483]
51559;[51558, 51553, 110733, 86725, 62614, 18612, 126469, 44568, 105677, 116187]
60788;[60783, 60782, 90562, 70745, 120946, 41373, 94591, 90265, 121394, 19650]
68661;[41098, 120698, 68604, 18527, 75699, 105851, 51023, 54103, 110010, 19611]
121988;[40734, 59562, 113387, 84151, 60653, 19967, 119084, 16503, 63811, 44863]
38084;[82010, 71508, 107264, 87503, 18437, 105168, 14633, 86724, 86723, 110733]
104411;[92175, 80139, 92714, 19778, 83383, 93864, 61365, 123043, 20486, 85902]
79464;[117873, 40406, 83329, 79487, 89582, 110006, 60289, 81541, 30581, 125875]
18506;[56397, 71052, 62589, 51607, 104449, 79975, 67174, 70618, 128301, 51609]
58230;[116994, 43487, 44292, 60584, 32052, 87035, 85452, 90340, 15794, 67155]
80572;[75150, 41410, 81363, 117873, 71092, 104692, 15623, 104410, 89582, 20080]
18420;[109969, 85368, 125875, 111046, 84474, 110093, 125815, 44800, 25133, 123210]
70954;[71069, 65265, 82277, 120831, 127372, 117057, 81362, 87445, 115295, 117873]
51558;[51559, 51553, 58833, 62614, 93625, 107659, 43378, 128867, 78607, 54901]
70111;[89582, 77166, 116947, 90081, 80572, 81385, 16596, 117873, 15618, 66583]
122005;[83441, 116914, 117726, 29988, 122732, 18625, 41463, 84669, 29439, 125976]
72007;[54904, 68949, 88362, 82079, 57761, 79858, 108839, 76786, 65401, 106779]
69467;[133662, 128246, 40603, 66462, 133494, 57280, 117358, 105700, 107860, 57279]
