;product_id;name;price;link;category
150;82489;Runde tomater;62,50/Kg.;/produkt/pedersens-udvalgte-runde-tomater/82489/;frugt-og-groent/
151;68608;Nye kartofler;16,50/Kg.;/produkt/salling-nye-kartofler/68608/;frugt-og-groent/
152;42528;Granatæbler;16,00/Stk.;/produkt/granataebler/42528/;frugt-og-groent/
153;38306;Hvidkål;16,00/Stk.;/produkt/hvidkaal/38306/;frugt-og-groent/
154;38239;Rosmarin øko;15,00/Stk.;/produkt/salling-oeko-rosmarin-oeko/38239/;frugt-og-groent/
155;41373;Chilimix øko;214,29/Kg.;/produkt/salling-oeko-chilimix-oeko/41373/;frugt-og-groent/
156;50921;Snittet og skyllet XL basissalat;40,00/Kg.;/produkt/salling-nu-ready-to-serve-snittet-og-skyllet-xl-basissalat/50921/;frugt-og-groent/
157;66484;Høvlet peberrod;185,00/Kg.;/produkt/carlsens-hoevlet-peberrod/66484/;frugt-og-groent/
158;76873;Æbler øko;30,00/Stk.;/produkt/pink-lady-aebler-oeko/76873/;frugt-og-groent/
159;38124;Brune champignon øko;92,50/Kg.;/produkt/salling-oeko-brune-champignon-oeko/38124/;frugt-og-groent/
160;117871;Snittet grønkål;80,00/Kg.;/produkt/snittet-groenkaal/117871/;frugt-og-groent/
161;18612;Hokkaido græskar øko;28,00/Stk.;/produkt/salling-oeko-hokkaido-graeskar-oeko/18612/;frugt-og-groent/
162;85331;Baby Rucola;200,00/Kg.;/produkt/nordic-harvest-baby-rucola/85331/;frugt-og-groent/
163;51916;Vandmelon XXL;40,00/Stk.;/produkt/salling-vandmelon-xxl/51916/;frugt-og-groent/
164;18484;Citronsaft øko;68,00/L.;/produkt/salling-oeko-citronsaft-oeko/18484/;frugt-og-groent/
165;66462;Porrer, bundt øko;8,00/Stk.;/produkt/salling-oeko-porrer-bundt-oeko/66462/;frugt-og-groent/
166;62360;Skyllet salatmix øko;226,67/Kg.;/produkt/salling-oeko-ready-to-serve-skyllet-salatmix-oeko/62360/;frugt-og-groent/
167;38212;Portobello svampe øko;80,00/Kg.;/produkt/salling-oeko-portobello-svampe-oeko/38212/;frugt-og-groent/
168;58839;Karse, stor bakke;11,10/Stk.;/produkt/karse-stor-bakke/58839/;frugt-og-groent/
169;112488;Snittet icebergsalat;40,00/Kg.;/produkt/salling-nu-snittet-icebergsalat/112488/;frugt-og-groent/
170;105700;Bobbybønner;65,00/Kg.;/produkt/bobbyboenner/105700/;frugt-og-groent/
171;51193;Limesaft øko;68,00/L.;/produkt/salling-oeko-limesaft-oeko/51193/;frugt-og-groent/
172;104127;Løg øko;13,33/Kg.;/produkt/salling-oeko-loeg-oeko/104127/;frugt-og-groent/
173;126470;Persille øko;28,00/Stk.;/produkt/oeko-persille-oeko/126470/;frugt-og-groent/
174;38044;Fennikel øko;14,00/Stk.;/produkt/salling-oeko-fennikel-oeko/38044/;frugt-og-groent/
175;18595;Grapefrugter;12,50/Kg.;/produkt/salling-citrusfrugter-grapefrugter/18595/;frugt-og-groent/
176;129174;Basilikum;9,00/Stk.;/produkt/basilikum/129174/;frugt-og-groent/
177;38174;Kruspersille øko, afskåret;360,00/Kg.;/produkt/salling-oeko-kruspersille-oeko-afskaaret/38174/;frugt-og-groent/
178;112253;Æbler, Cosmic Crisp;3,33/Stk.;/produkt/aebler-cosmic-crisp/112253/;frugt-og-groent/
179;18143;Dadler øko;71,25/Kg.;/produkt/juicy-dates-dadler-oeko/18143/;frugt-og-groent/
180;115238;Timian, afskåret;850,00/Kg.;/produkt/nordic-harvest-timian-afskaaret/115238/;frugt-og-groent/
181;56398;Rosmarin, Afskåret;850,00/Kg.;/produkt/rosmarin-afskaaret/56398/;frugt-og-groent/
182;75386;Ærter;44,44/Kg.;/produkt/aerter/75386/;frugt-og-groent/
183;57385;Babykartofler øko;24,62/Kg.;/produkt/salling-oeko-babykartofler-oeko/57385/;frugt-og-groent/
184;38012;Gurkemejerod øko;260,00/Kg.;/produkt/salling-oeko-gurkemejerod-oeko/38012/;frugt-og-groent/
185;50997;Hovedsalat;15,00/Stk.;/produkt/vores-danske-salater-hovedsalat/50997/;frugt-og-groent/
186;51607;Estragon, Afskåret;850,00/Kg.;/produkt/estragon-afskaaret/51607/;frugt-og-groent/
187;91499;Blommer;40,00/Kg.;/produkt/blommer/91499/;frugt-og-groent/
188;112147;Frugtbakke - sæsonens frugter;30,00/Kg.;/produkt/frugtbakke-saesonens-frugter/112147/;frugt-og-groent/
189;41389;Babyspirer øko;80,00/Kg.;/produkt/babyspirer-oeko/41389/;frugt-og-groent/
190;51609;Dild, Afskåret;17,00/Stk.;/produkt/dild-afskaaret/51609/;frugt-og-groent/
191;42530;Ingefær;65,00/Kg.;/produkt/salling-ingefaer/42530/;frugt-og-groent/
192;110733;Ærteskud øko;213,33/Kg.;/produkt/oeko-aerteskud-oeko/110733/;frugt-og-groent/
193;110177;Frugt kasse;99,00/Stk.;/produkt/frugt-kasse/110177/;frugt-og-groent/
194;70106;Rødbeder;12,00/Kg.;/produkt/prima-frugt-roedbeder/70106/;frugt-og-groent/
195;117927;Finthakket ingefær øko;200,00/Kg.;/produkt/carlsens-finthakket-ingefaer-oeko/117927/;frugt-og-groent/
